%->qy^d,0.0,0,5
ba->aa,0.0,0,0
ng->b,0.0,0,2
qh->aa,0.0,0,1
br->sd,0.0,0,1
qw->aa,0.0,0,1
ad->sv,0.0,0,3
b->bh,0.0,0,2
sd->ny,0.0,0,1
h->aa,0.0,0,1
"fo_o_fw_""_by_bc->aa",0.0,0,1
bf->ar,0.0,0,1
^2->x,0.0,0,1
ad->%,0.0,0,1
qw->x,0.0,0,1
b^m->aa,0.0,0,2
ny->bh,0.0,0,1
"fo_o_fw_""_by_bc->qo",0.0,0,0
qh->qh,0.0,0,2
bf->b,0.0,0,0
arp_nd->sd,0.0,0,1
qh->sv,0.0,0,2
^q->sd,0.0,0,5
aa->qh,0.0,0,1
fc->sv,0.0,0,0
qw->ny,0.0,0,0
b^m->sv,0.0,0,1
qy^d->%,0.0,0,2
qy->no,0.0,0,2
h->qy,0.0,0,1
ny->ad,0.0,0,2
ad->sd,0.0,0,6
bk->qw,0.0,0,1
fp->fp,0.0,0,2
%->nn,0.0,0,0
bd->bf,0.0,0,1
bh->sv,0.0,0,2
b^m->qy,0.0,0,1
"%->fo_o_fw_""_by_bc",0.0,0,2
t1->sd,0.0,0,1
"fo_o_fw_""_by_bc->fp",0.0,0,1
ng->qy,0.0,0,1
bk->bf,0.0,0,1
na->qy^d,0.0,0,1
qw->^2,0.0,0,1
br->ny,0.0,0,1
qw->^h,0.0,0,3
ar->^h,0.0,0,0
qw->h,0.0,0,1
aap_am->aap_am,0.0,0,2
^q->b,0.0,0,5
ad->arp_nd,0.0,0,1
bf->aa,0.0,0,12
sv->ad,0.0,0,6
bf->sd,0.0,0,3
h->qw,0.0,0,1
sd->qw^d,0.0,0,1
%->b^m,0.0,0,2
%->bf,0.0,0,2
qw->sv,0.0,0,6
"sd->fo_o_fw_""_by_bc",0.0,0,1
qh->qw,0.0,0,1
qo->br,0.0,0,1
qo->h,0.0,0,1
%->ny,0.0,0,2
b^m->qy^d,0.0,0,1
x->aa,0.0,0,1
fa->sd,0.0,0,1
no->sv,0.0,0,1
aa->ad,0.0,0,1
nn->%,0.0,0,1
